# samples,smse,msll,nlpd,rmse,mae
35.00000000,1.56339944,-20.94173977,33.16002466,66.90416661,42.98984893
47.00000000,1.56150754,-18.75162441,35.93161168,66.86367340,42.81669626
60.00000000,1.56122251,-17.46772410,39.49093437,66.85757064,42.78480108
65.00000000,1.56330847,-12.36033743,40.98812725,66.90222006,42.85263647
68.00000000,1.56036898,-11.22814713,41.75305808,66.83929245,42.70278988
73.00000000,1.54922212,22.02636750,41.17057264,66.60012334,42.15085255
77.00000000,1.54883354,27.88081201,39.86998489,66.59177059,42.22118432
82.00000000,1.54914088,26.79560275,37.70349863,66.59837718,42.38043985
84.00000000,1.54920681,25.81233674,36.80517752,66.59979424,42.36204502
87.00000000,1.54969385,24.38037345,35.51156575,66.61026227,42.36544537
89.00000000,1.54855820,23.59185555,34.63914736,66.58585107,42.30100223
91.00000000,1.54868590,22.63481937,33.83329461,66.58859660,42.30488951
100.00000000,1.54071384,18.90311835,30.56734724,66.41698864,41.96614291
110.00000000,1.50706155,16.64239498,27.36810897,65.68764383,40.99351838
114.00000000,1.42283229,17.38685536,25.10961068,63.82562048,39.44065744
117.00000000,1.30227101,16.36828517,22.63141601,61.06169794,37.44679566
120.00000000,1.16722643,14.34818943,20.08264986,57.80903849,35.23613090
124.00000000,1.04106771,12.12443238,17.66715481,54.59560436,33.05845162
127.00000000,0.97140397,10.84737053,16.35901853,52.73732860,31.86404401
132.00000000,0.78247811,7.85928178,13.29627310,47.33193804,28.41393876
136.00000000,0.75127312,7.08260957,12.50181201,46.37854443,27.58023286
140.00000000,0.74575840,6.65665719,12.07269279,46.20800995,27.45597653
147.00000000,0.65099793,5.21423776,10.62495948,43.17257905,25.49468878
152.00000000,0.61483668,4.67798974,10.08422120,41.95638601,24.89342718
156.00000000,0.60519704,4.38910647,9.79120959,41.62618278,24.68768410
163.00000000,0.59699220,4.00371847,9.40424619,41.34305050,24.40956433
169.00000000,0.59300541,3.73641921,9.13865120,41.20477210,24.30754300
182.00000000,0.58423199,3.27322502,8.68176932,40.89882742,24.09432752
196.00000000,0.57914579,2.90223231,8.32044911,40.72040996,23.93686859
206.00000000,0.57536448,2.68118698,8.10707880,40.58725813,23.92245348
210.00000000,0.57436792,2.60413920,8.03394093,40.55209317,23.77495620
221.00000000,0.56866281,2.38545415,7.82305858,40.35019177,23.53095723
226.00000000,0.56805441,2.32074668,7.75637300,40.32860106,23.51097133
228.00000000,0.56782908,2.29644534,7.73112702,40.32060157,23.50241034
231.00000000,0.56529088,2.24679185,7.67397587,40.23038425,23.46442423
233.00000000,0.56439034,2.22248727,7.64469455,40.19832659,23.44888565
234.00000000,0.56340563,2.20642949,7.62519073,40.16324375,23.43156226
237.00000000,0.56137053,2.16500340,7.57320632,40.09064029,23.37351987
241.00000000,0.56112919,2.12653533,7.52957901,40.08202176,23.36739569
252.00000000,0.56177581,2.01421752,7.41861815,40.10510937,23.36057423
258.00000000,0.56187615,1.95377083,7.35998910,40.10869106,23.34720459
260.00000000,0.56196128,1.93479934,7.34160322,40.11172949,23.34308038
262.00000000,0.56212109,1.91692226,7.32430478,40.11743255,23.34480198
264.00000000,0.56217617,1.89802655,7.30615142,40.11939768,23.33673177
267.00000000,0.56228952,1.87067874,7.27988739,40.12344204,23.32746697
269.00000000,0.56244806,1.85376957,7.26361116,40.12909810,23.33093849
271.00000000,0.56262371,1.83754928,7.24790718,40.13536380,23.33257309
273.00000000,0.56275170,1.82147017,7.23217903,40.13992864,23.32909119
276.00000000,0.56300509,1.79823187,7.20968717,40.14896447,23.33083875
279.00000000,0.56328001,1.77584617,7.18804576,40.15876584,23.33186872
282.00000000,0.56367405,1.75550076,7.16782894,40.17280996,23.32919487
283.00000000,0.56388838,1.74949662,7.16176624,40.18044675,23.32876006
284.00000000,0.56404986,1.74351230,7.15554068,40.18619957,23.32934926
290.00000000,0.56383527,1.70218664,7.10844537,40.17855469,23.29957892
292.00000000,0.56368201,1.68633844,7.09220501,40.17309346,23.28077774
294.00000000,0.56416785,1.67537355,7.08161658,40.19040254,23.29491073
295.00000000,0.56437817,1.66959719,7.07610348,40.19789338,23.29990523
296.00000000,0.56458171,1.66377207,7.07054854,40.20514103,23.30440956
299.00000000,0.56488730,1.64361653,7.05123627,40.21602062,23.30104905
318.00000000,0.52465786,1.32146323,6.73493709,38.75754701,22.21182064
326.00000000,0.51820080,1.24125289,6.65770535,38.51831028,21.91218664
330.00000000,0.51413992,1.20023079,6.61835542,38.36708929,21.77438452
333.00000000,0.51594650,1.20491965,6.62429718,38.43443691,21.81655847
335.00000000,0.51363117,1.18540322,6.60573594,38.34810220,21.74680051
338.00000000,0.51095555,1.15567355,6.57738121,38.24808977,21.65747371
340.00000000,0.51037568,1.14424237,6.56695128,38.22638033,21.63995279
351.00000000,0.47290535,0.97233985,6.39974207,36.79639780,20.91465187
361.00000000,0.39423840,0.58507795,6.01110121,33.59677967,19.39697238
368.00000000,0.39295673,0.55965649,5.98904245,33.54212365,19.36188226
371.00000000,0.39239500,0.54845530,5.97942195,33.51814097,19.35199424
373.00000000,0.39212012,0.54161791,5.97361300,33.50639877,19.34769514
375.00000000,0.39188478,0.53501442,5.96802357,33.49634242,19.34403318
377.00000000,0.39168344,0.52863669,5.96260284,33.48773659,19.34158388
381.00000000,0.39139544,0.51599547,5.95187995,33.47542287,19.33610026
